Date,Day_of_Week,Month,Week_of_the_year,Day_of_month,Is_Weekend,Special_Event,Number_Attended
2025-03-03,Monday,3,10,3,false,false,688
2025-03-04,Tuesday,3,10,4,false,true,890
2025-03-05,Wednesday,3,10,5,false,true,564
2025-03-06,Thursday,3,10,6,false,false,1407
2025-03-07,Friday,3,10,7,false,true,456
2025-03-08,Saturday,3,10,8,true,false,17
2025-03-09,Sunday,3,11,9,true,false,5
2025-03-10,Monday,3,11,10,false,true,337
2025-03-11,Tuesday,3,11,11,false,true,1207
2025-03-12,Wednesday,3,11,12,false,true,533
2025-03-13,Thursday,3,11,13,false,false,1055
2025-03-14,Friday,3,11,14,false,false,465
2025-03-15,Saturday,3,11,15,true,false,9
2025-03-16,Sunday,3,12,16,true,true,3
2025-03-17,Monday,3,12,17,false,true,337
2025-03-18,Tuesday,3,12,18,false,true,1622
2025-03-19,Wednesday,3,12,19,false,true,470
2025-03-20,Thursday,3,12,20,false,true,1734
2025-03-21,Friday,3,12,21,false,true,656
2025-03-22,Saturday,3,12,22,true,false,45
2025-03-23,Sunday,3,13,23,true,true,5
2025-03-24,Monday,3,13,24,false,true,643
2025-03-25,Tuesday,3,13,25,false,true,865
2025-03-26,Wednesday,3,13,26,false,false,568
2025-03-27,Thursday,3,13,27,false,true,1146
2025-03-28,Friday,3,13,28,false,true,709
2025-03-29,Saturday,3,13,29,true,false,21
2025-03-30,Sunday,3,14,30,true,false,5
2025-03-31,Monday,3,14,31,false,true,527
2025-04-01,Tuesday,4,14,1,false,false,1192
2025-04-02,Wednesday,4,14,2,false,true,431
2025-04-03,Thursday,4,14,3,false,false,1143
2025-04-04,Friday,4,14,4,false,false,418
2025-04-05,Saturday,4,14,5,true,false,3
2025-04-06,Sunday,4,15,6,true,false,4
2025-04-07,Monday,4,15,7,false,true,275
2025-04-08,Tuesday,4,15,8,false,false,1102
2025-04-09,Wednesday,4,15,9,false,false,566
2025-04-10,Thursday,4,15,10,false,true,1004
2025-04-11,Friday,4,15,11,false,true,610
2025-04-12,Saturday,4,15,12,true,false,13
2025-04-13,Sunday,4,16,13,true,false,3
2025-04-14,Monday,4,16,14,false,true,400
2025-04-15,Tuesday,4,16,15,false,true,1340
2025-04-16,Wednesday,4,16,16,false,false,338
2025-04-17,Thursday,4,16,17,false,false,1696
2025-04-18,Friday,4,16,18,false,false,333
2025-04-19,Saturday,4,16,19,true,false,40
2025-04-20,Sunday,4,17,20,true,false,3
2025-04-21,Monday,4,17,21,false,true,250
2025-04-22,Tuesday,4,17,22,false,true,1289
2025-04-23,Wednesday,4,17,23,false,true,406
2025-04-24,Thursday,4,17,24,false,false,1033
2025-04-25,Friday,4,17,25,false,true,456
