number_people,date,timestamp,day_of_week,is_weekend,is_holiday,temperature,is_start_of_semester,is_during_semester,month,hour
37,2015-08-14 17:00:11-07:00,61211,4,0,0,71.76,0,0,8,17
45,2015-08-14 17:20:14-07:00,62414,4,0,0,71.76,0,0,8,17
40,2015-08-14 17:30:15-07:00,63015,4,0,0,71.76,0,0,8,17
44,2015-08-14 17:40:16-07:00,63616,4,0,0,71.76,0,0,8,17
45,2015-08-14 17:50:17-07:00,64217,4,0,0,71.76,0,0,8,17
46,2015-08-14 18:00:18-07:00,64818,4,0,0,72.15,0,0,8,18
43,2015-08-14 18:20:08-07:00,66008,4,0,0,72.15,0,0,8,18
53,2015-08-14 18:30:09-07:00,66609,4,0,0,72.15,0,0,8,18
54,2015-08-14 18:40:14-07:00,67214,4,0,0,72.15,0,0,8,18
43,2015-08-14 18:50:15-07:00,67815,4,0,0,72.15,0,0,8,18
39,2015-08-14 19:00:16-07:00,68416,4,0,0,69.97,0,0,8,19
38,2015-08-14 19:20:07-07:00,69607,4,0,0,69.97,0,0,8,19
45,2015-08-14 19:30:08-07:00,70208,4,0,0,69.97,0,0,8,19
41,2015-08-14 19:40:14-07:00,70814,4,0,0,69.97,0,0,8,19
36,2015-08-14 19:50:16-07:00,71416,4,0,0,69.97,0,0,8,19
42,2015-08-14 20:00:17-07:00,72017,4,0,0,68.8,0,0,8,20
35,2015-08-14 20:21:14-07:00,73274,4,0,0,68.8,0,0,8,20
36,2015-08-14 20:31:14-07:00,73874,4,0,0,68.8,0,0,8,20
48,2015-08-14 20:41:15-07:00,74475,4,0,0,68.8,0,0,8,20
40,2015-08-14 20:51:17-07:00,75077,4,0,0,68.8,0,0,8,20
49,2015-08-14 21:01:18-07:00,75678,4,0,0,68.04,0,0,8,21
37,2015-08-14 21:20:06-07:00,76806,4,0,0,68.04,0,0,8,21
48,2015-08-14 21:30:07-07:00,77407,4,0,0,68.04,0,0,8,21
45,2015-08-14 21:40:08-07:00,78008,4,0,0,68.04,0,0,8,21
45,2015-08-14 21:50:09-07:00,78609,4,0,0,68.04,0,0,8,21
38,2015-08-14 22:00:10-07:00,79210,4,0,0,67.55,0,0,8,22
41,2015-08-14 22:20:07-07:00,80407,4,0,0,67.55,0,0,8,22
41,2015-08-14 22:30:08-07:00,81008,4,0,0,67.55,0,0,8,22
37,2015-08-14 22:40:09-07:00,81609,4,0,0,67.55,0,0,8,22
33,2015-08-14 22:50:11-07:00,82211,4,0,0,67.55,0,0,8,22
22,2015-08-14 23:00:11-07:00,82811,4,0,0,67.0,0,0,8,23
2,2015-08-14 23:20:06-07:00,84006,4,0,0,67.0,0,0,8,23
1,2015-08-14 23:30:07-07:00,84607,4,0,0,67.0,0,0,8,23
0,2015-08-14 23:40:08-07:00,85208,4,0,0,67.0,0,0,8,23
0,2015-08-14 23:50:09-07:00,85809,4,0,0,67.0,0,0,8,23
0,2015-08-15 00:00:10-07:00,10,5,1,0,66.76,0,0,8,0
1,2015-08-15 00:20:08-07:00,1208,5,1,0,66.76,0,0,8,0
0,2015-08-15 00:30:09-07:00,1809,5,1,0,66.76,0,0,8,0
0,2015-08-15 00:40:10-07:00,2410,5,1,0,66.76,0,0,8,0
0,2015-08-15 00:50:13-07:00,3013,5,1,0,66.76,0,0,8,0
